Crop,PestOrDisease,Symptoms,Treatment,OrganicControl
Wheat,Blast (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Improve field drainage and sanitation,Organic Neem/Bio-Control
Wheat,Blight (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Wheat,Rust (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Improve field drainage and sanitation,Organic Neem/Bio-Control
Wheat,Powdery Mildew (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Use pheromone traps for pest monitoring,Organic Neem/Bio-Control
Wheat,Downy Mildew (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Wheat,Leaf Spot (Fungal),Yellowing or spotting of Wheat leaves with specific Fungal marks.,Prune affected leaves and burn them away from the field,Organic Neem/Bio-Control
Wheat,Aphids (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Wheat,Stem Borer (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Wheat,Thrips (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Prune affected leaves and burn them away from the field,Organic Neem/Bio-Control
Wheat,Whiteflies (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Use pheromone traps for pest monitoring,Organic Neem/Bio-Control
Wheat,Mealybug (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Wheat,Spider Mites (Insect),Yellowing or spotting of Wheat leaves with specific Insect marks.,Improve field drainage and sanitation,Organic Neem/Bio-Control
Wheat,Canker (Bacterial),Yellowing or spotting of Wheat leaves with specific Bacterial marks.,Spray monocrotophos 2ml/liter of water,Organic Neem/Bio-Control
Wheat,Wilt (Bacterial),Yellowing or spotting of Wheat leaves with specific Bacterial marks.,Prune affected leaves and burn them away from the field,Organic Neem/Bio-Control
Wheat,Soft Rot (Bacterial),Yellowing or spotting of Wheat leaves with specific Bacterial marks.,Use pheromone traps for pest monitoring,Organic Neem/Bio-Control
Wheat,Mosaic (Viral),Yellowing or spotting of Wheat leaves with specific Viral marks.,Prune affected leaves and burn them away from the field,Removal of affected plants
Wheat,Leaf Curl (Viral),Yellowing or spotting of Wheat leaves with specific Viral marks.,Use pheromone traps for pest monitoring,Removal of affected plants
Rice,Blast (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Use Trichoderma viride bio-fungicide,Organic Neem/Bio-Control
Rice,Blight (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Use Trichoderma viride bio-fungicide,Organic Neem/Bio-Control
Rice,Rust (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Use Trichoderma viride bio-fungicide,Organic Neem/Bio-Control
Rice,Powdery Mildew (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Apply Neem oil spray every 7 days,Organic Neem/Bio-Control
Rice,Downy Mildew (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Use Trichoderma viride bio-fungicide,Organic Neem/Bio-Control
Rice,Leaf Spot (Fungal),Yellowing or spotting of Rice leaves with specific Fungal marks.,Use Trichoderma viride bio-fungicide,Organic Neem/Bio-Control
Rice,Aphids (Insect),Yellowing or spotting of Rice leaves with specific Insect marks.,Use pheromone traps for pest monitoring,Organic Neem/Bio-Control
Rice,Stem Borer (Insect),Yellowing or spotting of Rice leaves with specific Insect marks.,Use pheromone traps for pest monitoring,Organic Neem/Bio-Control
